0; 0; 0.000000
1; 176; 0.000003
2; 388; 0.000004
3; 790; 0.000008
4; 1273; 0.000008
5; 1819; 0.000013
6; 2611; 0.000021
7; 3216; 0.000033
8; 4238; 0.000045
9; 5036; 0.000068
10; 6213; 0.000098
11; 6978; 0.000135
12; 7809; 0.000190
13; 8584; 0.000264
14; 9246; 0.000360
15; 10122; 0.000494
16; 10373; 0.000682
17; 10997; 0.000910
18; 11216; 0.001210
19; 11346; 0.001578
20; 11459; 0.002051
21; 11212; 0.002664
22; 11132; 0.003418
23; 10835; 0.004411
24; 10069; 0.005588
25; 9470; 0.007025
26; 8686; 0.008961
27; 7926; 0.011246
28; 7063; 0.014054
29; 6272; 0.017287
30; 5558; 0.021166
31; 4655; 0.026133
32; 4031; 0.031376
33; 3554; 0.037721
34; 3058; 0.045079
35; 2462; 0.053214
36; 2048; 0.062088
37; 1732; 0.072364
38; 1370; 0.082370
39; 1089; 0.094913
40; 765; 0.107823
41; 613; 0.119114
42; 508; 0.134743
43; 347; 0.145788
44; 286; 0.158111
45; 180; 0.171803
46; 140; 0.185602
47; 83; 0.193453
48; 64; 0.204927
49; 41; 0.212604
50; 23; 0.220781
51; 19; 0.230297
52; 11; 0.237986
53; 4; 0.243970
54; 2; 0.248885
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
0; 0; 0.000000
