32;0.047445
23;0.004301
13;0.000291
26;0.008316
7;0.000057
20;0.000545
28;0.005780
23;0.003755
17;0.000931
15;0.000816
21;0.001481
20;0.003110
21;0.000865
27;0.008787
12;0.000195
22;0.001331
29;0.006161
26;0.005627
32;0.012948
37;0.081550
27;0.017537
26;0.002093
18;0.002225
21;0.001526
3;0.000007
26;0.005180
19;0.000365
17;0.001308
13;0.000186
14;0.000213
5;0.000009
17;0.001697
23;0.002231
14;0.000399
18;0.000928
31;0.019092
24;0.004587
15;0.000356
23;0.005189
18;0.000513
1;0.000002
40;0.071106
19;0.000683
29;0.013633
28;0.026587
21;0.000619
16;0.000266
19;0.000946
14;0.000137
11;0.000072
15;0.000458
29;0.015272
19;0.001796
4;0.000007
29;0.014668
25;0.001940
14;0.000528
25;0.003769
14;0.000199
26;0.006683
27;0.009595
36;0.061752
18;0.001562
17;0.000844
14;0.000328
26;0.013308
29;0.019326
29;0.013601
16;0.000351
17;0.000438
33;0.029972
11;0.000128
27;0.013221
11;0.000053
20;0.002029
19;0.001582
17;0.000656
18;0.000547
17;0.000682
23;0.007975
21;0.001294
4;0.000006
16;0.000978
38;0.084343
25;0.011068
27;0.004347
13;0.000263
30;0.020654
22;0.000620
11;0.000071
25;0.004309
32;0.016190
21;0.003195
19;0.000349
28;0.011193
15;0.000368
21;0.001655
28;0.010021
38;0.024005
20;0.001206
7;0.000052
1;0.000003
12;0.000140
23;0.001591
43;0.071856
21;0.003656
12;0.000119
18;0.000812
28;0.009810
26;0.013432
18;0.000633
5;0.000010
6;0.000020
15;0.000445
17;0.000778
36;0.072837
21;0.002038
19;0.001768
13;0.000097
25;0.007236
29;0.037921
12;0.000113
23;0.006263
38;0.094100
24;0.007410
21;0.001861
20;0.000682
20;0.001374
17;0.000366
20;0.000529
21;0.000597
14;0.000224
14;0.000307
23;0.001461
29;0.011830
4;0.000005
18;0.000739
19;0.001595
6;0.000022
23;0.005435
11;0.000073
13;0.000084
28;0.016335
29;0.011973
29;0.005907
16;0.000603
22;0.005676
21;0.004341
12;0.000175
19;0.001249
18;0.001407
15;0.000069
19;0.000681
9;0.000039
10;0.000044
26;0.003786
26;0.010238
13;0.000275
29;0.014968
